riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta
193;0500107903;313225;['20240305 rip 0']
194;0500111103;PERCORSO DISATTIVO
195;0500111502;313266;['20240305 rip 0']
196;0500111502;312752;['20240227 rip 0']
197;0500111502;312753;['20240227 rip 0']
198;0500111502;314438;['20240327 rip 0']
199;0500115301;301960;['20231117 rip 0']
200;0500115501;301965;['20231117 rip 0']
201;0500115701;301962;['20231117 rip 0']
202;0500120501;297094;['20240114 rip 0']
203;0500120501;297095;['20240114 rip 0']
204;0500120501;304137;['20240114 rip 0']
205;0500120501;316431;['20240503 rip 0']
206;0500120501;281891;['20240117 rip 0']
207;0500120501;281892;['20240117 rip 0']
208;0500120501;316432;['20240503 rip 0']
209;0500120501;290156;['20240119 rip 0']
210;0500120501;314690;['20240406 rip 0']
211;0500122702;313032;['20240229 rip 0']
212;0500123102;288884;['20230727 rip 0']
213;0500123402;301950;['20231117 rip 0']
214;0500123402;301951;['20231117 rip 0']
215;0500123402;301956;['20231117 rip 0']
216;0500123402;301957;['20231117 rip 0']
217;0500123402;301958;['20231117 rip 0']
218;0500123402;301959;['20231117 rip 0']
219;0500123402;301960;['20231117 rip 0']
220;0500123402;301961;['20231117 rip 0']
221;0500123402;301952;['20231117 rip 0']
222;0500123402;301953;['20231117 rip 0']
223;0500123402;301963;['20231117 rip 0']
224;0500123402;301964;['20231117 rip 0']
225;0500124702;312642;['20240224 rip 0']
226;0500124702;312643;['20240224 rip 0']
227;0500124702;313222;['20240305 rip 0']
228;0500124802;262875;['20240127 rip 0']
229;0500124802;262876;['20240127 rip 0']
230;0500124802;304458;['20240119 rip 0']
231;0500126202;299994;['20230914 rip 0']
232;0500126202;300245;['20230928 rip 0']
233;0500126202;299966;['20230928 rip 0']
234;0500126202;300241;['20230919 rip 0']
235;0500126202;300414;['20230926 rip 0']
236;0500126202;300430;['20230927 rip 0']
237;0500126202;300570;['20231005 rip 0']
238;0500126202;300475;['20230930 rip 0']
239;0500126202;300479;['20230930 rip 0']
240;0500126202;300487;['20230930 rip 0']
241;0500126202;300505;['20230930 rip 0']
242;0501003402;247281;['20230727 rip 0']
243;0501003402;314872;['20240413 rip 0']
244;0501003402;246275;['20230727 rip 0']
245;0501003402;245507;['20230727 rip 0']
246;0501003402;245519;['20230727 rip 0']
247;0501003402;245094;['20230727 rip 0']
248;0501003402;245875;['20230727 rip 0']
249;0501003402;245841;['20230727 rip 0']
250;0501003402;245869;['20230727 rip 0']
251;0501003402;246233;['20230727 rip 0']
252;0501003402;245088;['20230727 rip 0']
253;0501003402;246286;['20230727 rip 0']
254;0501003402;247278;['20230727 rip 0']
255;0501003402;245135;['20230727 rip 0']
256;0501003402;245109;['20230727 rip 0']
257;0501003402;245117;['20230727 rip 0']
258;0501003402;245123;['20230727 rip 0']
259;0501003402;245671;['20230727 rip 0']
260;0501003402;245453;['20230727 rip 0']
261;0501003402;245987;['20230727 rip 0']
262;0501003402;246207;['20230727 rip 0']
263;0501003402;245886;['20230727 rip 0']
264;0501003402;245952;['20230727 rip 0']
265;0501003402;245674;['20230727 rip 0']
266;0501003402;245675;['20230727 rip 0']
267;0501003402;245904;['20230727 rip 0']
268;0501003402;245167;['20230727 rip 0']
269;0501003402;245192;['20230727 rip 0']
270;0501003402;245898;['20230727 rip 0']
271;0501003402;246229;['20230727 rip 0']
272;0501003402;246228;['20230727 rip 0']
273;0501003402;246230;['20230727 rip 0']
274;0501003402;245215;['20230727 rip 0']
275;0501003402;291847;['20230727 rip 0']
276;0501003402;245927;['20230727 rip 0']
277;0501003402;245571;['20230727 rip 0']
278;0501003402;246052;['20230727 rip 0']
279;0501003402;246071;['20230727 rip 0']
280;0501003402;245398;['20230727 rip 0']
281;0501003402;246188;['20230727 rip 0']
282;0501003402;246194;['20230727 rip 0']
283;0501003402;246088;['20230727 rip 0']
284;0501003402;245296;['20230727 rip 0']
285;0501003402;245958;['20230727 rip 0']
286;0501003402;245300;['20230727 rip 0']
287;0501003402;245937;['20230727 rip 0']
288;0501003402;245724;['20230727 rip 0']
289;0501003402;246023;['20230727 rip 0']
290;0501003402;245432;['20230727 rip 0']
291;0501003402;245279;['20230727 rip 0']
292;0501003402;246126;['20230727 rip 0']
293;0501003402;245594;['20230727 rip 0']
294;0501003402;245318;['20230727 rip 0']
295;0501003402;245289;['20230727 rip 0']
296;0501003402;245312;['20230727 rip 0']
297;0501003402;292068;['20230727 rip 0']
298;0501003402;245560;['20230727 rip 0']
299;0501003402;245324;['20230727 rip 0']
300;0501003402;245351;['20230727 rip 0']
301;0501003402;245515;['20230727 rip 0']
302;0501003402;245339;['20230727 rip 0']
303;0501003402;245338;['20230727 rip 0']
304;0501003402;246238;['20230727 rip 0']
305;0501003402;245344;['20230727 rip 0']
306;0501003402;246096;['20230727 rip 0']
307;0501003402;245767;['20230727 rip 0']
308;0501003402;245547;['20230727 rip 0']
309;0501003402;245535;['20230727 rip 0']
310;0501003402;245815;['20230727 rip 0']
311;0501003402;245377;['20230727 rip 0']
312;0501003402;245971;['20230727 rip 0']
313;0501003402;245942;['20230727 rip 0']
314;0501003402;245405;['20230727 rip 0']
315;0501003402;245610;['20230727 rip 0']
316;0501003402;245387;['20230727 rip 0']
317;0501003402;246259;['20230727 rip 0']
318;0501OM2501;314374;['20240324 rip 0']
319;0501OM2501;300743;['20231021 rip 0']
320;0501OM2501;304428;['20240118 rip 0']
321;0501OM2501;310653;['20240201 rip 0']
322;0501OM2501;310652;['20240201 rip 0']
323;0501OM2501;310654;['20240201 rip 0']
324;0501OM2501;312149;['20240217 rip 0']
325;0501OM2501;312148;['20240217 rip 0']
326;0501OM2501;312724;['20240225 rip 0']
327;0501OM2501;312676;['20240225 rip 0']
328;0501OM2501;314324;['20240323 rip 0']
329;0501OM2501;314367;['20240324 rip 0']
330;0501OM2501;314366;['20240324 rip 0']
331;0501OM2501;300750;['20231021 rip 0']
332;0501OM2501;314373;['20240324 rip 0']
333;0501OM2501;300751;['20231021 rip 0']
334;0501OM2501;314376;['20240324 rip 0']
335;0501OM2501;300752;['20231021 rip 0']
336;0501OM2501;300748;['20231021 rip 0']
337;0501OM2501;300749;['20231021 rip 0']
338;0501OM2501;314300;['20240323 rip 0']
339;0501OM2501;300639;['20231013 rip 0']
340;0501OM2501;300640;['20231013 rip 0']
341;0501OM2501;300637;['20231013 rip 0']
342;0501OM2501;304427;['20240118 rip 0']
343;0501OM2501;304426;['20240118 rip 0']
344;0501OM2501;300532;['20231004 rip 0']
345;0501OM2501;314387;['20240324 rip 0']
346;0501OM2501;314381;['20240324 rip 0', '20240324 rip 1']
347;0501OM2501;314382;['20240324 rip 0', '20240324 rip 1']
348;0501OM2501;314264;['20240323 rip 0']
349;0501OM2501;300595;['20231006 rip 0']
350;0501OM2501;312672;['20240225 rip 0']
351;0501OM2501;312726;['20240225 rip 0']
352;0501OM2501;300468;['20230928 rip 0']
353;0501OM2501;300469;['20230928 rip 0']
354;0501OM2501;300602;['20231006 rip 0']
355;0501OM2501;314389;['20240324 rip 0']
356;0501OM2501;314390;['20240324 rip 0']
357;0501OM2501;314377;['20240324 rip 0']
358;0501OM2501;299878;['20230910 rip 0']
359;0501OM2501;314293;['20240323 rip 0']
360;0501OM2501;314381;['20240324 rip 0', '20240324 rip 1']
361;0501OM2501;314382;['20240324 rip 0', '20240324 rip 1']
362;0501OM3601;299673;['20230809 rip 0']
363;0501OM3601;313440;['20240306 rip 0']
364;0501OM3601;313398;['20240306 rip 0']
365;0501OM3601;299850;['20230902 rip 0']
366;0501OM3601;313306;['20240306 rip 0']
367;0501OM3601;301253;['20231108 rip 0']
368;0501OM3601;304017;['20240109 rip 0']
369;0501OM3602;312521;['20240223 rip 0']
370;0501OM3602;312519;['20240223 rip 0']
371;0501OM3602;312704;['20240225 rip 0']
372;0501OM3602;312705;['20240225 rip 0']
373;0501OM3602;200010;['20240113 rip 0']
374;0501OM3602;311480;['20240210 rip 0']
375;0501OM3602;313283;['20240306 rip 0']
376;0501OM3602;304464;['20240120 rip 0']
377;0501OM4002;313284;['20240306 rip 0']
378;0501OM4002;312616;['20240224 rip 0']
379;0501OM4002;300470;['20230928 rip 0']
380;0501OM4002;312953;['20240228 rip 0']
381;0501OM4002;313126;['20240302 rip 0']
382;0501OM4002;313154;['20240302 rip 0']
383;0501OM4002;313153;['20240302 rip 0']
384;0501OM4002;313177;['20240303 rip 0']
385;0501OM4002;311872;['20240214 rip 0']
386;0501OM4202;313227;['20240305 rip 0']
387;0501OM4202;313229;['20240305 rip 0']
388;0501OM4202;215809;['20230727 rip 0']
389;0501OM4202;175327;['20230727 rip 0']
390;0501OM4202;215810;['20230727 rip 0']
391;0501OM4202;313226;['20240305 rip 0']
392;0501OM4401;302051;['20231121 rip 0']
393;0501OM4401;303275;['20231128 rip 0']
394;0501OM4401;303276;['20231128 rip 0']
395;0501OM4401;303349;['20231128 rip 0']
396;0501OM4401;303350;['20231128 rip 0']
397;0501OM4401;303324;['20231128 rip 0']
398;0501OM4401;303323;['20231128 rip 0']
399;0501OM4401;303322;['20231128 rip 0']
400;0501OM4401;303321;['20231128 rip 0']
401;0501OM4401;303320;['20231128 rip 0']
402;0501OM4401;303357;['20231128 rip 0']
403;0501OM4401;303592;['20231220 rip 0']
404;0501OM4401;303591;['20231220 rip 0']
405;0501OM4401;312649;['20240224 rip 0']
406;0501OM4401;316406;['20240503 rip 0']
407;0501OM4401;315291;['20240420 rip 0']
408;0501OM4401;315290;['20240420 rip 0']
409;0501OM4401;302047;['20231121 rip 0']
410;0501OM4401;303437;['20231202 rip 0']
411;0501OM4401;303409;['20231129 rip 0']
412;0501OM4401;303456;['20231202 rip 0']
413;0501OM4401;303448;['20231202 rip 0']
414;0501OM4401;303496;['20231208 rip 0']
415;0501OM4401;303497;['20231208 rip 0']
416;0501OM4401;303502;['20231208 rip 0']
417;0501OM4401;300963;['20231103 rip 0']
418;0501OM4401;303580;['20231220 rip 0']
419;0501OM4401;303586;['20231220 rip 0']
420;0501OM4401;303582;['20231220 rip 0']
421;0501OM4401;303581;['20231220 rip 0']
422;0501OM4401;303583;['20231220 rip 0']
423;0501OM4401;303584;['20231220 rip 0']
424;0501OM4401;303585;['20231220 rip 0']
425;0502AD4203;299460;['20240410 rip 0']
426;0502AD4203;299569;['20240410 rip 0']
427;0502AD4302;304446;['20240119 rip 0']
428;0502AD4302;304445;['20240119 rip 0']
