riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta;data_fine_corretta
566;0101377801;314370;;
567;0101377901;299743;20230819;20240424
568;0101377901;299743;;
569;0101377901;316222;20240428;99991231
570;0101377901;316222;;
571;0101378101;279767;;
572;0101378101;279767;20230727;99991231
573;0101378101;279763;;
574;0101378101;279763;20230727;99991231
575;0101378101;315288;20240419;99991231
576;0101378101;315288;;
577;0101378702;313030;20240229;99991231
578;0101378702;313030;;
579;0101380201;310687;20240203;99991231
580;0101380201;310687;;
581;0101380201;310683;20240203;99991231
582;0101380201;310683;;
583;0101380201;304432;20240119;99991231
584;0101380201;304432;;
585;0101380701;310687;20240203;99991231
586;0101380701;310687;;
587;0101380701;310683;20240203;99991231
588;0101380701;310683;;
589;0101380902;303488;20231221;99991231
590;0101380902;303488;;
591;0101380902;300648;20231017;99991231
592;0101380902;300648;;
593;0101380902;301251;20231107;99991231
594;0101380902;301251;;
595;0101381602;300633;20231013;99991231
596;0101381602;300633;;
597;0101381602;299990;20230914;99991231
598;0101381602;299990;;
599;0101381602;300242;20230928;99991231
600;0101381602;300242;;
601;0101381602;299963;20230928;99991231
602;0101381602;299963;;
603;0101381602;300238;20230919;99991231
604;0101381602;300238;;
605;0101381602;300408;20230926;99991231
606;0101381602;300408;;
607;0101381602;300409;20230926;99991231
608;0101381602;300409;;
609;0101381602;300427;20230927;99991231
610;0101381602;300427;;
611;0101381602;300567;20231005;99991231
612;0101381602;300567;;
613;0101381602;300495;20230930;99991231
614;0101381602;300495;;
615;0101381602;300496;20230930;99991231
616;0101381602;300496;;
617;0101381602;300500;20230930;99991231
618;0101381602;300500;;
619;0101381602;300501;20230930;99991231
620;0101381602;300501;;
621;0111000103;313028;20240314;99991231
622;0111000103;313028;;
623;0111000103;250196;20230727;99991231
624;0111000103;250196;;
625;0111000203;300214;20230917;99991231
626;0111000203;300214;;
627;0201238701;1852820002;20230727;99991231
628;0201238701;1852820002;20231019;99991231
629;0201238701;1713460001;20230727;99991231
630;0201238701;1713460001;20230727;20231018
631;0201238701;1713460001;20231019;99991231
632;0201238701;1706980001;20230727;99991231
633;0201238701;1706980001;;
634;0201238701;1712640003;20230727;99991231
635;0201238701;1712640003;;
636;0201238701;1712640002;20230727;99991231
637;0201238701;1712640002;;
638;0201238701;1712640001;20230727;99991231
639;0201238701;1712640001;;
640;0201238701;1741060001;20230727;99991231
641;0201238701;1741060001;;
642;0201238701;1741060002;20230727;99991231
643;0201238701;1741060002;;
644;0201238701;1741060003;20230727;99991231
645;0201238701;1741060003;;
646;0201238701;1722300001;20230727;99991231
647;0201238701;1722300001;;
648;0201238701;1722300002;20230727;99991231
649;0201238701;1722300002;;
650;0201238701;1722300003;20230727;99991231
651;0201238701;1722300003;;
652;0201238701;1722300004;20230727;99991231
653;0201238701;1722300004;;
654;0201238701;1722300005;20230727;99991231
655;0201238701;1722300005;;
656;0201238701;1722300017;20230727;99991231
657;0201238701;1722300017;;
658;0201238701;1722300016;20230727;99991231
659;0201238701;1722300016;;
660;0201238701;1722300006;20230727;99991231
661;0201238701;1722300006;;
662;0201238701;1722300007;20230727;99991231
663;0201238701;1722300007;;
664;0201238701;1722300008;20230727;99991231
665;0201238701;1722300008;;
666;0201238701;1722300009;20230727;99991231
667;0201238701;1722300009;;
668;0201238701;1722300010;20230727;99991231
669;0201238701;1722300010;;
670;0201238701;1835650007;20230727;99991231
671;0201238701;1835650007;;
672;0201238701;1835650005;20230727;99991231
673;0201238701;1835650005;;
674;0201238701;1835650004;20230727;99991231
675;0201238701;1835650004;;
676;0201238701;1835650002;20230727;99991231
677;0201238701;1835650002;;
678;0201238701;1835940001;20230727;99991231
679;0201238701;1835940001;;
680;0201238701;1835940002;20230727;99991231
681;0201238701;1835940002;;
682;0201238701;1835940003;20230727;99991231
683;0201238701;1835940003;;
684;0201238701;1835940004;20230727;99991231
685;0201238701;1835940004;;
686;0201238701;1835650001;20230727;99991231
687;0201238701;1835650001;;
688;0201238701;1735940002;20230727;99991231
689;0201238701;1735940002;;
690;0201238701;1759430002;20230727;99991231
691;0201238701;1759430002;;
692;0201238701;1759430003;20230727;99991231
693;0201238701;1759430003;;
694;0201238701;1759430001;20230727;99991231
695;0201238701;1759430001;;
696;0201238701;1703070001;20230727;99991231
697;0201238701;1703070001;;
698;0201238701;1722130001;20230727;99991231
699;0201238701;1722130001;;
700;0201238701;1717720002;20230727;99991231
701;0201238701;1717720002;;
702;0201238701;1717720001;20230727;99991231
703;0201238701;1717720001;;
704;0201238701;1852820001;20230727;99991231
705;0201238701;1852820001;;
706;0201238701;1852820004;20230727;99991231
707;0201238701;1852820004;;
708;0201238701;1852820003;20230727;99991231
709;0201238701;1852820003;;
710;0201238701;1852820005;20230727;99991231
711;0201238701;1852820005;;
712;0201238701;1852820006;20230727;99991231
713;0201238701;1852820006;;
714;0201238701;1756320002;20230727;99991231
715;0201238701;1756320002;;
716;0201238701;1756320003;20230727;99991231
717;0201238701;1756320003;;
718;0201238701;1756320004;20230727;99991231
719;0201238701;1756320004;;
720;0201238701;1756320005;20230727;99991231
721;0201238701;1756320005;;
722;0201238701;1656320006;20230727;99991231
723;0201238701;1656320006;;
724;0201238701;1656320007;20230727;99991231
725;0201238701;1656320007;;
726;0201238701;1656320008;20230727;99991231
727;0201238701;1656320008;;
728;0201238701;1656320060;20230727;99991231
729;0201238701;1656320060;;
730;0500003701;249294;20230727;20240318
731;0500003701;249294;;
732;0500003701;303539;20231214;99991231
733;0500003701;303539;;
734;0500003701;303540;20231214;99991231
735;0500003701;303540;;
736;0500100302;313269;20240305;99991231
737;0500100302;313269;;
738;0500100302;313270;20240305;99991231
739;0500100302;313270;;
740;0500100302;313268;20240305;99991231
741;0500100302;313268;;
742;0500100302;200496;20240229;99991231
743;0500100302;200496;;
744;0500100302;200864;20240229;99991231
745;0500100302;200864;;
746;0500100302;303555;20231215;99991231
747;0500100302;303555;;
748;0500100302;312620;20240224;99991231
749;0500100302;312620;;
750;0500100302;200494;20240229;99991231
751;0500100302;200494;;
752;0500100302;200438;20240229;99991231
753;0500100302;200438;;
754;0500100302;200697;20240229;99991231
755;0500100302;200697;;
756;0500100302;200492;20240229;99991231
757;0500100302;200492;;
758;0500100302;200751;20240229;99991231
759;0500100302;200751;;
760;0500100302;301164;20231105;99991231
761;0500100302;301164;;
762;0500100302;312202;20240220;99991231
763;0500100302;312202;;
764;0500100302;312203;20240220;99991231
765;0500100302;312203;;
766;0500100302;312204;20240220;99991231
767;0500100302;312204;;
768;0500100302;200403;20240304;99991231
769;0500100302;200403;;
770;0500101103;303462;20231203;20231204
771;0500101103;303462;20231205;99991231
772;0500101103;303462;;
773;0500101103;303461;20231205;99991231
774;0500101103;303461;20231203;20231204
775;0500101103;303461;;
776;0500101103;303485;20231208;99991231
